F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
260,536,336,-142,748,403,1091,398,206,626,-987,833,517,265
259,534,334,-148,749,408,1103,396,212,624,-992,833,519,263
259,537,332,-146,746,414,1121,389,196,624,-990,833,519,272
262,535,334,-145,747,428,1140,390,190,625,-986,834,520,277
262,532,336,-146,747,441,1151,396,219,623,-987,838,523,271
263,535,330,-143,749,443,1146,395,260,624,-989,837,519,267
262,539,327,-143,748,446,1139,398,281,625,-990,835,515,264
261,540,334,-144,749,453,1129,400,269,623,-985,837,518,265
268,542,337,-141,752,451,1114,393,239,623,-981,836,520,271
270,542,332,-138,749,446,1100,394,210,625,-984,835,516,271
262,542,330,-138,748,443,1099,400,178,626,-988,834,515,271
260,542,333,-141,752,427,1099,395,169,624,-985,834,516,273
264,539,337,-143,747,408,1093,389,199,624,-985,835,516,270
262,537,334,-140,746,405,1109,392,220,624,-990,832,512,267
262,538,329,-138,756,406,1137,397,234,622,-991,827,512,269
266,542,335,-141,751,408,1161,398,260,622,-990,831,518,270
266,542,341,-143,743,413,1171,398,263,623,-991,836,523,268
264,540,335,-139,753,410,1154,398,228,622,-990,834,519,267
263,542,330,-136,758,415,1133,396,203,622,-986,832,515,265
262,543,334,-138,746,443,1134,392,220,622,-980,831,515,265
261,541,335,-142,747,455,1138,393,239,623,-981,831,518,269
262,542,332,-144,754,440,1123,393,227,622,-987,831,522,271
264,539,332,-143,750,439,1118,392,211,622,-990,835,519,267
262,534,329,-144,746,443,1127,395,213,623,-989,837,512,263
263,536,325,-142,749,431,1128,393,215,622,-987,832,514,269
265,542,330,-140,747,425,1124,389,211,619,-986,829,517,273
264,540,334,-142,748,426,1130,393,218,621,-990,833,513,272
260,534,331,-144,750,422,1141,396,234,626,-992,835,512,270
259,532,329,-141,739,428,1157,392,254,626,-988,832,518,270
256,538,332,-142,735,443,1183,391,267,625,-985,835,514,270
256,544,333,-142,744,444,1191,401,257,626,-987,839,510,267
261,540,329,-139,743,438,1167,404,243,626,-989,835,514,263
266,535,330,-140,739,440,1154,395,247,624,-989,835,519,266
266,538,335,-141,748,445,1162,393,261,624,-987,839,517,274
265,536,337,-136,750,453,1164,395,264,624,-987,836,512,273
263,533,332,-139,743,453,1154,391,255,624,-987,830,514,265
258,539,329,-143,748,441,1144,391,243,624,-983,834,519,271
260,545,328,-139,752,436,1142,394,240,624,-985,838,515,276
263,539,334,-140,747,439,1160,399,261,624,-988,837,510,270
259,538,337,-143,744,443,1186,401,289,624,-985,837,516,266
254,543,332,-139,746,445,1197,392,293,624,-984,840,521,268
257,539,333,-139,749,446,1198,386,280,623,-989,841,514,274
265,537,335,-143,749,441,1187,396,279,623,-991,842,514,278
263,539,335,-139,745,439,1171,398,280,622,-988,839,519,274
253,537,335,-135,745,454,1157,394,270,623,-987,833,518,270
257,537,334,-140,747,459,1141,402,247,625,-988,834,512,271
270,540,333,-138,746,441,1126,401,214,624,-989,837,514,273
268,541,335,-135,752,446,1130,389,200,622,-990,837,523,272
259,540,337,-143,749,473,1142,392,224,622,-990,839,519,272
259,536,332,-146,738,477,1141,396,250,623,-989,841,513,270
261,534,329,-139,746,465,1150,392,246,625,-990,840,518,270
262,538,331,-138,759,467,1169,393,245,624,-987,838,519,271
258,540,337,-143,751,475,1171,396,268,622,-984,839,514,267
256,541,336,-142,744,474,1164,397,272,622,-988,839,517,269
256,541,328,-143,752,459,1162,403,245,623,-986,836,522,271
255,536,327,-144,750,443,1144,399,229,622,-982,838,518,270
256,535,333,-142,748,443,1125,386,235,622,-987,839,516,267
263,541,336,-140,749,447,1137,392,242,623,-988,837,517,267
264,541,336,-138,748,452,1159,402,246,625,-985,836,519,267
260,537,336,-138,751,465,1160,394,231,624,-985,837,516,271
261,542,336,-142,751,472,1155,390,216,623,-986,838,515,275
261,544,332,-144,747,485,1153,392,229,624,-984,837,515,274
260,538,328,-142,747,499,1157,392,238,625,-985,833,518,273
261,535,330,-140,749,492,1154,399,219,624,-990,831,520,268
262,535,330,-140,747,478,1137,401,208,624,-995,838,517,267
260,536,329,-145,752,477,1137,397,214,624,-990,840,515,272
260,539,333,-145,755,474,1153,400,216,624,-986,833,518,270
