F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
273,546,341,-138,748,466,1000,400,261,625,-986,837,517,278
272,540,337,-140,744,445,987,400,244,624,-986,838,516,275
272,541,337,-135,745,450,996,400,235,626,-990,838,518,270
271,546,341,-136,748,473,1008,399,244,626,-993,836,518,269
270,538,342,-138,750,470,1012,402,262,626,-988,839,517,270
269,533,341,-135,753,465,1033,402,267,626,-986,846,514,274
268,535,342,-133,756,474,1047,397,257,627,-987,842,514,275
268,539,343,-134,753,458,1031,395,240,626,-989,840,519,274
269,541,339,-137,749,439,1010,398,231,623,-989,845,519,275
270,543,340,-138,747,461,1011,401,236,625,-988,845,518,276
267,544,344,-134,747,476,1020,400,245,628,-985,840,521,278
265,543,346,-133,749,452,1020,398,250,626,-984,839,519,278
271,541,343,-139,753,448,1023,398,252,623,-987,844,513,275
272,538,338,-141,751,470,1032,398,247,625,-984,847,513,273
270,538,344,-134,747,476,1052,395,239,629,-984,842,517,273
273,541,348,-134,748,475,1066,397,243,627,-988,836,518,269
274,542,339,-136,750,481,1053,401,257,624,-986,843,517,269
271,543,338,-136,752,477,1041,395,264,625,-983,845,515,276
272,544,344,-142,754,473,1057,396,261,626,-985,838,517,277
274,545,340,-146,752,484,1077,403,261,625,-986,842,521,272
276,543,338,-134,752,488,1076,396,274,623,-988,843,519,270
278,539,344,-129,754,474,1069,391,279,624,-996,839,514,275
273,540,345,-137,750,474,1066,400,275,626,-987,840,517,274
267,541,340,-136,749,497,1071,403,284,627,-975,840,520,268
270,540,338,-131,754,501,1072,399,296,627,-978,839,514,273
270,542,340,-134,752,480,1060,399,278,626,-986,840,510,277
266,548,339,-137,746,466,1060,399,250,626,-987,845,515,271
270,547,339,-136,749,476,1071,402,242,626,-987,847,517,271
273,542,339,-135,757,499,1073,400,241,626,-991,846,514,275
267,545,340,-140,757,499,1066,394,238,625,-990,840,516,272
269,546,340,-143,748,477,1068,396,242,624,-985,837,518,269
276,541,342,-136,748,468,1068,400,243,625,-991,838,516,273
273,541,343,-133,752,474,1056,400,242,624,-995,838,519,272
268,543,341,-137,752,471,1050,401,244,623,-984,843,523,268
270,542,343,-137,752,468,1063,405,244,623,-980,844,520,269
270,544,344,-134,752,473,1070,401,248,627,-988,838,520,274
268,548,341,-135,749,475,1069,397,264,628,-983,836,524,277
268,541,342,-135,749,474,1067,402,260,624,-981,837,520,270
267,538,344,-135,751,471,1054,405,227,624,-989,836,513,267
270,544,343,-139,755,473,1053,400,221,626,-986,838,513,277
273,541,342,-139,757,478,1069,397,246,624,-980,843,516,277
271,536,346,-135,752,469,1057,398,236,624,-985,842,515,269
269,539,348,-137,751,452,1041,395,205,629,-984,840,514,273
269,542,345,-140,751,454,1060,392,214,628,-977,838,516,279
269,541,339,-136,747,470,1068,397,236,624,-979,838,518,272
271,540,338,-134,748,464,1040,396,226,625,-989,839,518,272
269,538,341,-136,750,441,1027,393,209,627,-994,839,517,277
270,541,343,-135,752,439,1037,399,211,626,-991,839,517,271
273,546,343,-137,757,445,1036,404,214,625,-988,840,518,267
271,543,340,-140,756,449,1041,403,218,626,-985,843,520,271
271,541,337,-140,747,463,1064,400,240,624,-983,843,520,273
277,540,341,-138,749,476,1078,401,251,623,-986,840,516,267
275,536,343,-135,753,473,1074,402,229,624,-988,843,512,268
268,538,341,-138,748,460,1061,396,201,625,-986,844,514,274
269,542,341,-139,747,450,1046,394,196,627,-987,839,518,275
271,540,343,-137,750,444,1041,399,201,626,-991,842,519,275
273,538,343,-136,750,440,1049,397,206,624,-987,843,519,272
274,540,343,-138,752,450,1059,394,226,623,-983,839,518,272
267,543,340,-138,756,467,1055,400,240,625,-985,846,518,275
265,544,341,-137,755,473,1051,405,228,626,-987,854,520,273
272,544,348,-137,750,470,1063,399,228,626,-985,841,517,270
273,547,346,-133,746,470,1061,397,245,625,-984,833,515,275
272,550,340,-133,746,467,1037,396,227,623,-983,840,516,281
274,545,345,-137,748,460,1034,388,208,623,-985,842,517,275
272,539,348,-134,745,458,1047,392,237,626,-988,840,517,270
267,537,344,-134,742,465,1041,405,248,626,-986,842,518,270
268,537,342,-138,747,479,1046,404,234,625,-987,845,516,274
270,543,345,-137,750,486,1068,396,247,626,-987,844,518,279
268,546,347,-134,747,479,1073,401,252,626,-982,841,519,275
268,543,343,-135,746,472,1060,403,233,625,-982,842,515,272
269,543,339,-136,747,472,1048,395,234,624,-983,845,517,274
268,547,342,-135,750,468,1040,395,245,624,-985,842,523,275
266,544,344,-134,753,467,1036,401,248,625,-990,838,521,274
268,536,341,-137,752,470,1050,402,260,624,-986,841,516,274
276,536,340,-137,748,475,1063,400,277,622,-981,844,517,276
276,544,341,-134,749,474,1058,398,288,624,-986,840,519,276
269,547,342,-134,753,472,1055,393,286,625,-986,839,515,275
269,543,344,-138,756,474,1064,395,278,623,-982,837,511,274
273,539,344,-135,751,477,1069,403,294,623,-987,833,516,273
270,541,342,-130,749,480,1069,401,309,626,-987,839,521,273
267,543,346,-132,757,479,1068,398,276,627,-979,845,516,275
274,544,347,-136,755,470,1055,400,237,625,-981,840,510,274
278,543,340,-137,747,455,1044,401,235,625,-988,838,511,272
273,543,336,-136,750,445,1055,399,248,626,-988,844,518,274
269,542,339,-133,753,440,1065,396,246,626,-987,845,522,269
268,541,341,-132,745,443,1058,391,236,626,-986,836,517,263
271,544,339,-134,747,460,1054,391,244,626,-984,832,514,270
272,544,342,-135,756,471,1052,400,259,625,-985,838,516,279
272,542,343,-135,756,470,1050,401,266,625,-989,844,517,273
273,540,336,-137,754,470,1059,398,270,624,-984,839,515,270
272,541,335,-138,751,472,1073,400,275,624,-980,839,517,278
271,546,341,-137,750,474,1073,402,277,627,-984,844,519,276
276,541,341,-136,751,475,1071,398,283,628,-984,837,517,268
279,539,339,-134,753,465,1065,397,272,626,-981,835,514,271
274,546,338,-135,749,451,1047,399,245,623,-982,846,516,275
270,545,341,-134,747,446,1035,396,237,625,-981,851,518,272
270,540,342,-133,750,441,1043,396,249,628,-983,844,518,270
272,543,342,-136,751,448,1057,399,251,627,-988,833,519,273
274,542,344,-137,750,463,1069,396,245,626,-989,830,520,271
272,536,343,-137,751,463,1069,395,244,626,-985,836,518,267
268,542,341,-143,754,446,1049,396,246,625,-983,841,518,266
269,548,344,-142,754,437,1030,398,243,625,-984,843,519,271
273,545,348,-131,756,441,1030,402,236,625,-990,841,518,277
273,542,343,-128,757,448,1036,402,241,626,-991,836,518,276
269,541,336,-133,751,444,1037,391,247,627,-983,840,519,271
265,542,339,-134,750,449,1039,392,245,626,-983,849,518,271
266,542,342,-133,753,468,1039,403,238,624,-985,846,519,275
271,543,340,-131,749,471,1034,401,239,624,-984,839,517,273
277,541,337,-133,746,458,1034,395,255,624,-984,840,516,272
273,540,339,-136,752,453,1036,397,255,624,-985,838,517,272
266,539,344,-136,750,456,1036,401,240,626,-987,839,518,272
267,538,342,-138,747,453,1040,401,233,626,-989,846,515,273
271,540,338,-138,750,451,1046,400,241,625,-986,848,514,275
270,542,338,-138,753,463,1045,400,244,626,-984,843,517,274
267,541,341,-137,753,472,1038,400,245,626,-985,842,519,274
267,539,343,-134,750,473,1038,400,259,626,-987,847,519,273
271,539,342,-131,749,470,1048,392,264,626,-986,844,518,269
273,540,338,-137,750,464,1050,386,255,626,-983,835,517,276
271,541,338,-136,752,448,1038,396,242,626,-982,836,514,280
271,543,343,-131,749,429,1031,405,229,624,-986,840,517,270
271,542,344,-141,748,425,1035,399,221,623,-986,840,519,271
273,544,339,-146,751,436,1036,397,236,626,-983,841,516,282
273,544,338,-136,752,450,1045,402,269,628,-989,843,518,276
269,541,339,-133,750,449,1062,398,275,625,-993,843,522,266
267,545,339,-139,748,454,1071,396,265,622,-989,845,519,273
270,548,339,-139,750,472,1071,402,264,624,-986,845,516,277
270,541,337,-135,752,468,1069,403,253,625,-987,844,517,271
271,538,340,-135,753,446,1065,397,235,625,-986,842,518,272
273,547,345,-135,754,436,1064,396,229,624,-984,842,520,276
269,548,344,-138,752,435,1068,397,232,625,-984,841,521,273
271,542,342,-139,750,431,1061,395,233,625,-985,842,516,271
277,544,344,-135,753,435,1054,395,239,624,-986,844,511,275
272,546,346,-133,755,442,1062,397,239,626,-986,843,517,275
270,542,345,-137,750,443,1072,397,239,628,-985,838,522,272
274,541,343,-137,749,449,1080,397,264,625,-984,837,519,271
272,545,341,-135,753,449,1080,397,284,623,-984,843,514,275
265,544,341,-138,750,442,1072,397,266,626,-987,843,513,278
267,542,340,-140,745,443,1068,396,248,626,-988,841,516,276
272,543,338,-134,747,446,1065,397,247,624,-987,844,520,271
268,543,342,-130,749,442,1054,398,240,626,-987,846,520,268
265,541,346,-136,746,439,1048,397,232,627,-983,840,516,274
272,542,343,-140,749,442,1057,397,253,625,-977,835,513,279
273,544,338,-138,754,444,1068,401,279,624,-979,842,515,274
268,544,338,-134,753,444,1064,402,266,626,-991,844,520,272
272,546,341,-134,751,446,1049,397,242,626,-990,840,521,275
276,545,342,-135,751,444,1038,394,244,625,-982,841,516,274
270,540,343,-136,750,432,1035,399,244,626,-985,842,516,273
265,542,343,-136,751,427,1044,396,237,627,-990,836,520,273
265,545,341,-135,753,437,1063,391,242,625,-988,833,518,273
269,542,340,-137,750,438,1065,395,236,623,-986,834,518,278
269,541,340,-139,749,428,1050,401,217,623,-988,836,521,281
268,545,341,-138,753,421,1043,399,213,624,-986,841,517,275
271,543,340,-135,752,416,1037,393,218,624,-987,843,513,271
269,542,340,-134,750,421,1041,392,236,624,-990,841,518,273
262,543,340,-137,750,435,1065,396,258,624,-986,846,521,272
269,540,338,-139,750,442,1064,397,258,625,-985,843,518,271
274,543,338,-135,750,439,1038,394,250,626,-989,834,518,272
266,548,342,-132,747,442,1042,395,247,626,-987,840,520,271
265,546,342,-137,744,447,1067,397,251,626,-983,845,519,275
269,542,339,-141,745,442,1071,397,260,626,-985,838,518,282
268,539,339,-137,747,440,1064,397,253,626,-988,841,515,278
268,543,341,-136,749,442,1062,398,238,626,-985,844,511,270
272,550,344,-138,751,436,1051,398,243,626,-985,839,514,272
270,547,346,-135,751,427,1036,400,248,626,-984,841,518,274
266,540,341,-131,754,436,1045,399,238,626,-981,849,519,272
269,542,338,-134,756,446,1067,398,234,626,-981,845,519,270
275,544,342,-139,751,440,1069,399,232,626,-983,840,517,274
277,542,341,-138,752,435,1063,399,239,626,-986,843,517,279
272,543,340,-135,754,439,1068,400,240,626,-989,838,519,278
268,545,345,-135,750,441,1070,397,212,626,-988,835,521,272
267,547,343,-136,751,441,1063,396,208,626,-984,843,517,273
270,544,338,-135,753,444,1067,401,252,626,-987,846,515,281
272,540,339,-133,748,448,1076,400,271,626,-990,841,521,282
270,539,341,-134,747,446,1075,392,248,626,-985,847,520,275
271,541,341,-136,749,456,1079,393,255,626,-985,849,515,271
271,541,340,-137,746,463,1093,398,276,626,-986,842,517,274
270,540,340,-138,748,459,1099,396,272,626,-986,843,516,273
271,542,341,-139,751,466,1097,397,270,626,-987,848,511,272
271,542,341,-137,747,477,1093,403,282,626,-988,845,517,280
267,539,339,-137,743,454,1076,403,279,626,-981,841,520,282
267,543,342,-139,749,435,1066,397,261,626,-976,836,514,275
273,548,342,-135,757,462,1080,395,260,626,-979,835,516,274
276,545,340,-133,757,473,1082,396,269,626,-985,844,518,280
273,544,344,-136,753,446,1071,397,268,626,-987,845,513,279
270,543,345,-135,752,440,1066,398,272,626,-982,835,513,273
272,542,341,-130,752,454,1061,399,292,626,-983,836,519,272
273,545,339,-132,751,445,1052,398,300,626,-989,841,519,271
270,547,342,-142,751,445,1044,396,281,626,-987,841,514,270
269,543,346,-143,753,469,1046,399,273,626,-981,840,515,276
270,541,345,-137,757,473,1051,400,284,626,-984,838,518,277
270,544,341,-133,758,465,1058,396,293,626,-992,836,515,273
270,544,339,-136,754,471,1057,399,299,626,-990,840,514,275
267,543,339,-140,751,472,1044,404,295,624,-983,843,516,278
269,543,338,-137,753,458,1039,398,284,623,-985,840,515,273
273,542,344,-134,756,455,1046,394,274,624,-988,839,515,271
272,539,346,-139,757,450,1045,394,268,626,-984,839,516,276
270,540,340,-138,752,446,1044,392,270,626,-983,839,519,277
269,544,342,-132,748,464,1064,392,286,625,-983,842,519,273
266,542,347,-136,752,473,1077,398,299,623,-983,840,517,274
266,540,344,-139,754,462,1069,402,287,623,-983,834,518,274
269,546,342,-133,752,460,1070,401,273,627,-982,836,519,269
271,545,343,-135,756,474,1081,398,275,628,-983,844,519,269
269,540,343,-142,756,474,1076,397,276,626,-988,846,515,273
268,544,340,-138,752,456,1063,398,272,625,-988,844,513,274
267,547,340,-133,749,439,1064,397,272,626,-985,844,520,271
265,543,343,-135,749,447,1071,395,265,626,-990,841,522,270
266,543,341,-134,750,470,1073,399,256,626,-990,839,514,271
267,544,339,-132,748,471,1071,399,266,625,-979,845,512,273
265,543,339,-134,747,469,1068,397,264,626,-977,847,518,273
263,543,341,-136,753,476,1079,400,250,626,-982,840,519,273
270,545,343,-138,752,479,1100,399,260,626,-986,838,517,272
273,547,343,-137,747,479,1098,394,268,626,-986,842,516,272
268,547,342,-133,752,475,1073,398,253,625,-981,841,514,274
267,544,342,-136,754,465,1064,397,251,626,-978,839,514,275
273,541,343,-136,748,464,1078,395,267,625,-982,840,515,273
275,544,343,-132,750,472,1081,404,274,623,-989,837,518,269
269,542,341,-135,755,471,1075,406,273,623,-986,835,519,268
267,540,341,-140,754,469,1087,398,277,624,-984,842,515,270
274,545,341,-137,754,476,1102,397,285,625,-987,847,513,273
274,548,340,-135,750,477,1093,401,288,627,-986,842,515,274
266,547,341,-134,745,474,1074,401,297,625,-981,841,518,271
267,545,341,-133,751,472,1067,401,297,626,-981,845,521,270
272,541,340,-136,755,479,1064,400,278,627,-987,842,521,272
271,538,341,-139,748,496,1079,399,275,624,-988,841,517,272
267,541,340,-137,747,498,1097,400,293,621,-986,845,516,271
264,541,340,-139,754,482,1082,402,297,624,-981,845,519,271
267,541,344,-138,754,474,1068,399,296,625,-982,842,520,272
271,542,340,-136,747,478,1087,391,315,624,-986,845,517,272
271,542,332,-136,748,475,1104,395,322,624,-982,841,518,272
272,545,338,-138,750,473,1101,405,297,625,-982,834,520,271
273,546,344,-137,749,478,1103,401,278,626,-991,836,516,275
267,537,341,-135,750,475,1096,397,287,624,-995,842,514,279
265,533,344,-138,751,473,1077,399,297,624,-988,840,520,275
271,538,347,-143,750,465,1077,396,271,625,-982,836,519,270
274,540,340,-139,750,456,1094,396,239,626,-981,840,514,270
271,536,336,-136,749,459,1101,401,235,625,-980,843,518,273
270,536,344,-143,745,463,1101,400,244,624,-983,840,521,273
272,540,345,-143,749,454,1090,400,244,624,-987,840,515,271
272,543,339,-132,756,451,1073,403,242,624,-988,842,512,270
266,542,340,-131,754,468,1081,402,246,627,-985,839,516,271
266,541,343,-137,750,475,1101,401,252,629,-988,834,519,272
276,536,341,-136,750,452,1100,401,247,625,-993,838,515,269
276,534,339,-135,749,442,1091,397,246,624,-989,842,515,269
268,538,338,-137,749,464,1096,400,266,625,-985,842,519,272
268,540,336,-137,749,483,1101,403,269,625,-987,841,520,273
