F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
270,547,337,-156,868,510,1139,392,304,708,-978,845,513,275
265,548,337,-155,841,502,1135,392,294,676,-986,842,514,276
268,546,338,-162,827,523,1140,391,285,678,-987,839,511,277
273,543,338,-160,836,538,1154,389,279,676,-980,841,511,277
273,541,334,-155,851,522,1152,390,252,627,-978,842,516,276
269,543,340,-158,837,501,1129,396,226,607,-985,839,514,276
269,542,346,-157,814,487,1105,397,221,637,-985,838,509,275
272,537,339,-156,828,482,1087,394,223,653,-981,840,514,274
271,540,332,-162,847,475,1063,391,219,634,-986,843,519,275
269,543,337,-164,842,466,1055,388,223,620,-990,843,517,275
266,542,338,-161,844,472,1075,389,238,633,-986,843,512,274
266,542,333,-160,849,486,1099,390,254,646,-981,841,508,271
272,544,331,-163,835,485,1103,388,274,664,-984,835,510,268
271,545,331,-163,817,464,1100,389,289,694,-985,836,513,271
261,541,331,-163,806,450,1096,391,283,700,-984,842,514,276
261,536,328,-164,815,454,1090,390,268,648,-989,839,514,273
264,536,328,-162,823,454,1091,392,256,605,-994,829,513,270
262,540,330,-158,802,448,1100,393,251,625,-987,833,510,273
259,543,330,-160,800,455,1115,393,261,647,-979,840,510,272
259,543,332,-163,826,478,1123,393,259,633,-978,837,512,275
263,537,330,-162,836,492,1118,390,235,620,-981,834,517,278
265,534,329,-162,826,483,1105,388,226,636,-985,838,518,273
263,539,332,-160,809,476,1102,390,247,653,-986,842,512,271
267,543,331,-156,798,483,1113,392,261,644,-983,838,508,274
270,540,328,-158,814,485,1127,393,263,635,-980,835,512,272
264,534,332,-163,823,478,1142,394,273,652,-982,837,514,268
262,535,336,-162,816,484,1150,392,274,668,-983,833,514,271
270,538,334,-158,818,503,1156,389,263,645,-982,832,515,272
270,538,334,-161,821,517,1159,389,263,632,-983,834,514,270
265,539,334,-162,826,527,1164,389,266,661,-984,834,511,270
263,543,334,-158,834,537,1167,392,253,674,-983,831,511,270
267,546,335,-154,835,552,1162,394,246,666,-981,833,513,268
271,545,334,-157,837,553,1146,389,262,677,-984,834,513,268
268,542,332,-159,833,534,1133,387,261,678,-990,832,512,267
264,541,332,-157,803,524,1137,390,242,646,-989,830,513,267
268,540,332,-162,788,541,1150,391,232,627,-983,830,513,271
271,536,332,-165,820,558,1160,389,221,624,-980,835,514,269
272,535,334,-161,844,549,1164,389,220,620,-986,837,515,263
273,538,333,-160,821,533,1164,393,239,629,-992,833,512,266
270,537,331,-165,791,527,1162,392,245,631,-986,832,510,268
263,536,330,-164,798,536,1147,388,238,625,-982,833,515,260
266,540,330,-164,817,542,1127,386,243,645,-988,831,517,259
266,545,333,-164,820,542,1129,390,245,656,-991,830,512,268
254,543,334,-157,798,552,1137,391,230,617,-982,832,512,268
254,542,331,-153,786,560,1135,389,214,597,-980,832,513,264
269,543,330,-159,826,556,1134,390,205,639,-985,833,509,267
270,538,336,-164,847,552,1133,392,199,663,-984,833,511,266
260,535,335,-162,807,546,1125,394,197,643,-982,828,517,261
259,538,326,-166,792,531,1129,391,194,619,-989,823,514,259
256,534,321,-171,814,525,1155,387,202,610,-995,828,508,257
249,529,321,-167,808,537,1176,390,222,611,-992,829,507,252
251,529,324,-162,803,539,1176,395,230,621,-992,820,509,252
256,531,323,-164,818,521,1152,392,208,621,-994,821,510,258
255,536,321,-172,806,504,1120,389,183,611,-990,828,507,258
257,540,323,-174,784,502,1095,393,175,621,-989,826,508,256
258,533,323,-168,790,499,1075,393,170,634,-992,819,509,255
244,523,315,-168,819,493,1072,384,174,645,-994,815,504,251
239,525,306,-176,847,496,1092,384,193,663,-989,816,504,248
245,528,307,-177,838,496,1105,392,194,648,-986,815,509,246
243,526,315,-171,816,490,1104,391,169,600,-990,812,508,247
240,530,319,-169,817,483,1116,384,162,596,-995,819,506,250
247,532,318,-171,831,476,1144,389,177,624,-990,823,513,253
255,530,322,-173,835,465,1160,396,182,620,-984,825,515,260
265,538,334,-162,827,464,1149,395,189,620,-986,838,512,276
273,548,339,-152,822,460,1128,395,204,646,-982,849,512,291
270,547,341,-156,818,443,1129,396,212,657,-979,849,513,293
265,545,339,-161,820,444,1131,391,221,646,-980,842,516,286
264,543,332,-155,831,459,1107,389,228,636,-982,838,512,279
266,539,332,-154,834,452,1094,393,210,645,-986,838,513,279
262,545,333,-162,824,442,1112,397,189,649,-987,840,514,279
258,548,331,-166,830,458,1123,394,193,633,-987,838,510,275
259,539,333,-163,831,467,1124,392,190,626,-987,837,512,272
258,532,334,-160,801,464,1135,393,170,631,-984,840,517,268
258,539,333,-161,797,476,1156,394,159,617,-981,840,516,273
264,544,333,-161,829,483,1162,399,156,602,-985,840,513,276
266,540,335,-161,830,473,1147,398,157,614,-987,839,513,271
263,542,335,-157,800,473,1132,390,170,629,-979,841,513,268
268,547,334,-155,785,469,1121,386,182,639,-979,841,514,275
272,546,332,-159,790,454,1106,392,180,643,-988,839,513,280
271,548,335,-157,803,453,1093,395,182,640,-989,840,509,277
272,547,342,-154,805,453,1087,393,177,649,-981,841,511,274
274,541,340,-159,796,441,1084,391,151,658,-980,841,513,278
271,541,334,-164,813,443,1097,388,134,645,-986,844,511,281
267,543,339,-159,836,458,1124,390,138,607,-981,845,511,276
265,542,345,-154,818,473,1149,393,136,584,-977,841,517,277
264,542,335,-154,804,482,1170,392,131,608,-983,838,516,280
270,542,332,-159,831,479,1168,393,140,633,-983,839,512,276
269,544,343,-165,825,469,1139,393,163,647,-978,840,514,278
261,541,342,-161,783,469,1113,392,193,676,-983,841,515,279
264,541,329,-156,796,470,1088,394,213,686,-986,840,513,275
267,541,329,-159,846,465,1061,395,215,674,-982,836,513,274
263,538,334,-161,853,471,1067,392,227,713,-985,838,515,274
271,539,332,-154,841,501,1098,393,247,761,-986,843,513,272
275,543,332,-154,864,531,1110,394,239,728,-977,842,511,270
262,541,337,-158,887,537,1112,391,210,678,-980,840,512,272
260,540,335,-156,857,538,1123,388,191,672,-989,838,512,275
268,540,331,-156,816,551,1133,392,178,654,-982,838,513,277
268,537,336,-159,813,554,1144,394,176,622,-976,840,511,271
263,537,337,-159,823,543,1150,391,187,635,-981,841,508,266
266,542,331,-159,823,531,1135,389,197,653,-984,839,510,272
271,541,334,-160,834,529,1126,390,204,637,-985,837,511,276
265,544,339,-158,835,539,1138,393,225,655,-985,836,510,272
260,549,331,-163,820,538,1131,395,246,698,-981,839,511,266
265,541,329,-166,826,528,1104,393,247,700,-980,839,512,270
268,537,336,-163,831,531,1093,390,250,699,-985,834,508,274
260,544,333,-162,826,535,1098,390,261,711,-984,837,510,271
257,542,328,-161,840,525,1098,391,258,694,-983,840,514,271
264,538,329,-160,849,521,1092,390,228,678,-983,834,515,273
266,544,334,-160,825,524,1092,389,190,675,-979,831,517,270
260,542,332,-163,793,518,1109,390,167,639,-980,832,518,270
259,535,329,-167,780,516,1145,391,159,596,-985,832,515,271
264,541,328,-163,799,527,1172,390,163,592,-984,835,510,268
262,543,331,-160,828,535,1181,391,181,612,-980,835,511,272
259,539,334,-167,819,528,1185,393,199,627,-981,833,512,275
262,540,333,-167,801,524,1169,393,212,645,-984,841,510,270
265,538,331,-161,825,528,1141,390,231,677,-982,845,511,267
263,540,332,-166,860,537,1118,390,240,688,-981,839,515,271
265,542,331,-170,848,542,1092,393,232,679,-988,839,513,273
268,536,329,-159,832,534,1061,394,230,692,-986,843,511,272
270,537,334,-153,849,527,1052,393,234,706,-978,841,516,273
269,545,339,-158,852,529,1079,391,231,694,-978,840,519,275
270,542,338,-165,840,532,1119,388,229,706,-981,841,517,276
273,537,338,-163,845,527,1152,391,222,721,-977,841,513,280
270,544,342,-155,839,526,1170,396,197,675,-980,841,514,279
269,550,344,-155,816,533,1176,396,186,633,-987,839,517,280
272,547,342,-157,823,536,1181,393,206,649,-984,834,515,286
271,546,340,-155,831,534,1176,392,226,654,-977,837,509,284
271,547,342,-158,819,538,1151,392,225,646,-978,842,510,277
273,544,341,-159,830,546,1125,391,227,670,-982,840,511,281
272,543,337,-155,826,545,1115,392,242,686,-986,837,510,286
270,547,339,-158,796,536,1097,395,251,669,-986,838,512,280
273,541,338,-162,813,528,1067,397,244,664,-982,842,517,275
275,536,334,-161,855,535,1055,393,220,672,-983,845,517,274
270,541,334,-164,850,553,1060,391,194,676,-984,843,511,270
264,543,335,-166,830,556,1072,394,190,674,-977,838,512,269
263,538,333,-164,819,559,1102,394,200,667,-974,840,515,272
266,536,333,-164,793,565,1138,388,210,665,-982,841,514,273
264,536,331,-164,789,555,1152,392,220,653,-988,838,513,273
260,540,327,-165,802,550,1158,398,231,651,-986,838,514,274
263,545,333,-167,807,554,1161,395,235,656,-980,838,513,276
266,543,342,-167,825,548,1154,389,239,656,-979,837,507,273
263,536,339,-162,843,536,1145,391,250,689,-981,838,506,270
262,536,332,-158,833,543,1135,395,261,733,-979,838,508,277
263,539,330,-156,832,553,1111,391,260,729,-981,836,511,279
261,538,333,-160,832,541,1078,388,243,694,-985,839,515,273
260,539,340,-164,806,513,1056,391,212,677,-983,845,517,271
266,541,341,-162,809,496,1061,394,163,635,-978,840,515,275
270,538,339,-161,833,505,1089,394,126,593,-975,831,515,272
266,540,338,-162,829,519,1115,392,139,612,-983,834,514,271
261,544,335,-161,828,528,1128,392,179,642,-989,842,511,272
267,542,334,-159,832,539,1147,394,212,663,-986,841,513,273
271,542,335,-159,806,544,1162,390,233,663,-986,836,515,272
268,547,334,-158,802,539,1155,387,240,637,-987,837,511,272
270,546,333,-157,838,536,1136,392,238,656,-985,840,509,272
275,540,332,-159,841,542,1121,392,252,724,-985,840,512,272
274,544,332,-161,824,545,1107,387,268,739,-984,841,514,271
268,546,333,-163,834,538,1089,389,262,699,-982,838,512,272
265,541,335,-164,847,518,1064,392,234,697,-986,837,511,271
272,542,338,-160,837,495,1042,395,194,684,-991,842,514,272
270,546,339,-155,831,491,1041,399,157,633,-985,842,516,277
263,542,337,-155,833,495,1047,397,138,622,-977,836,510,275
268,539,338,-159,821,493,1045,389,131,632,-979,834,508,269
274,544,339,-162,804,482,1040,389,124,618,-986,838,515,274
268,545,336,-161,799,472,1045,395,138,624,-983,839,516,279
266,538,334,-156,811,477,1056,394,175,656,-977,838,510,278
269,533,334,-155,807,490,1053,388,202,656,-981,843,513,277
267,540,333,-163,787,493,1049,389,209,653,-987,843,516,277
262,546,333,-169,797,500,1051,391,213,678,-982,835,513,272
265,544,334,-163,833,510,1041,389,215,686,-979,834,511,271
272,544,339,-155,853,508,1018,390,199,672,-986,842,514,276
266,544,336,-158,849,508,1009,392,167,659,-987,840,512,276
262,541,328,-167,847,512,1024,391,136,638,-980,832,510,274
269,540,333,-165,810,494,1035,390,108,598,-978,833,512,276
269,539,338,-162,765,469,1033,392,94,577,-984,838,512,278
264,541,335,-162,783,459,1042,393,119,611,-990,841,510,276
267,544,336,-160,810,472,1069,392,159,654,-987,841,512,276
268,542,338,-159,805,497,1091,389,187,674,-980,840,515,277
271,543,339,-159,823,503,1089,389,214,694,-980,840,514,280
275,546,334,-158,865,488,1081,390,227,697,-984,837,511,277
271,544,333,-157,849,489,1084,393,217,682,-982,836,513,270
264,539,341,-160,805,498,1083,393,205,683,-981,842,514,276
267,540,342,-162,817,494,1065,393,190,679,-981,841,514,282
271,542,335,-160,841,495,1068,393,182,658,-979,837,512,276
265,541,333,-161,817,495,1098,393,179,657,-982,842,512,270
265,543,335,-167,786,489,1110,394,155,638,-980,842,514,271
270,544,335,-165,806,490,1106,393,132,594,-978,837,514,273
268,537,335,-158,840,498,1110,395,141,600,-981,841,512,275
264,533,332,-159,834,498,1111,397,161,641,-979,850,512,280
265,541,334,-162,810,485,1106,392,173,648,-978,845,514,278
265,544,338,-160,802,467,1098,388,180,646,-982,837,515,272
265,539,335,-158,802,461,1101,390,185,668,-984,839,514,273
268,537,333,-156,806,457,1109,390,180,670,-983,843,514,276
266,540,336,-160,806,440,1103,389,162,641,-985,841,516,278
262,544,337,-167,800,434,1096,392,150,624,-983,836,516,277
262,541,336,-164,787,447,1110,390,148,615,-981,835,512,274
263,538,335,-157,769,454,1123,388,142,599,-982,839,510,271
267,539,337,-161,753,451,1123,392,148,590,-982,840,513,273
268,538,340,-169,758,459,1125,395,160,580,-983,839,515,273
265,539,336,-166,784,477,1122,394,150,569,-983,839,515,271
265,542,330,-159,795,486,1117,392,147,593,-981,837,511,275
268,541,334,-159,811,487,1120,394,173,642,-983,835,513,276
267,539,338,-164,835,478,1112,394,193,684,-983,840,518,274
262,541,336,-167,817,465,1097,391,184,698,-982,841,512,277
263,541,334,-165,799,462,1098,389,160,660,-984,835,504,279
264,540,335,-160,824,467,1098,390,149,613,-984,835,508,275
262,540,332,-163,838,457,1077,391,154,640,-980,836,516,268
262,539,329,-166,821,445,1071,389,151,682,-981,836,514,266
260,537,330,-163,807,457,1086,391,143,646,-982,839,509,271
261,541,333,-160,789,477,1101,392,155,598,-981,838,511,276
264,546,331,-165,782,481,1119,392,166,603,-983,834,516,277
264,542,328,-170,795,488,1127,391,158,625,-984,834,514,274
265,537,333,-165,792,499,1117,391,163,635,-986,837,510,273
263,538,334,-161,800,492,1105,391,176,648,-993,840,515,274
262,538,330,-163,825,466,1083,392,171,670,-991,844,518,275
266,538,332,-162,814,444,1047,393,158,680,-982,841,516,276
266,540,336,-154,799,443,1035,393,162,684,-980,837,513,277
261,541,335,-159,817,449,1042,396,173,693,-980,843,513,274
263,540,337,-170,826,447,1035,396,157,687,-979,845,515,273
268,540,337,-167,810,448,1043,391,131,653,-984,833,515,274
269,541,334,-162,790,458,1072,389,118,611,-985,830,514,275
265,539,333,-166,783,462,1090,393,104,593,-977,840,514,272
259,538,334,-169,786,453,1099,392,97,604,-977,844,514,271
263,544,337,-160,791,451,1115,390,110,624,-984,840,515,273
269,545,336,-157,794,476,1121,392,120,617,-982,841,512,274
266,539,333,-162,782,509,1123,393,139,617,-982,841,511,271
261,542,332,-163,773,516,1129,392,170,640,-985,837,513,272
261,548,332,-161,793,500,1112,389,175,630,-982,838,513,275
264,544,332,-163,795,485,1071,392,168,623,-978,844,514,275
269,543,336,-166,774,471,1035,396,166,658,-981,845,516,276
270,547,341,-163,801,451,1021,393,152,670,-985,841,513,275
266,546,339,-162,842,442,1030,389,140,635,-985,837,510,276
267,542,335,-162,820,450,1053,392,156,628,-985,837,513,279
271,542,336,-159,796,459,1082,393,170,640,-984,837,514,277
271,545,337,-161,803,464,1117,389,161,604,-982,836,512,274
270,548,336,-167,792,478,1139,390,147,578,-980,839,512,277
267,544,338,-161,772,488,1135,392,149,613,-979,842,512,276
268,538,336,-159,773,493,1134,392,173,655,-980,842,513,273
271,541,330,-163,803,509,1138,393,190,666,-984,841,515,277
269,546,331,-155,829,509,1118,392,177,656,-986,838,514,276
