F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
250,540,330,-159,1130,780,1282,397,439,1009,-977,854,523,301
252,538,328,-157,1178,788,1281,399,468,994,-980,852,520,302
255,536,328,-158,1179,793,1282,402,474,983,-981,850,524,302
255,539,333,-157,1114,791,1285,400,447,980,-981,849,525,297
251,543,333,-158,1129,792,1283,396,433,969,-983,849,520,295
253,542,329,-161,1196,801,1287,395,430,919,-981,853,520,296
258,538,332,-161,1187,809,1308,397,423,892,-978,854,519,292
259,540,333,-160,1137,805,1311,400,408,930,-980,852,515,293
255,542,328,-165,1139,787,1284,400,393,945,-984,849,516,299
250,540,326,-162,1140,770,1270,389,387,920,-981,847,519,292
256,540,326,-153,1099,765,1287,381,377,888,-975,847,517,284
259,537,324,-159,1111,768,1286,392,375,863,-980,846,515,287
255,535,331,-163,1166,780,1263,400,400,933,-986,842,516,282
255,541,336,-155,1130,785,1274,394,416,1022,-984,841,516,281
259,544,328,-158,1072,777,1287,394,398,946,-983,842,516,285
265,541,328,-165,1120,774,1272,398,378,877,-983,844,515,284
264,540,338,-157,1184,782,1265,396,378,977,-982,848,517,284
263,543,340,-150,1166,792,1270,396,381,1002,-985,848,517,285
267,543,336,-152,1131,790,1258,398,369,899,-986,845,515,286
267,540,335,-152,1126,797,1253,397,365,884,-984,843,516,285
267,541,337,-151,1115,819,1266,396,384,881,-983,844,517,285
269,541,336,-156,1107,814,1260,397,375,867,-984,843,518,285
266,540,334,-159,1114,785,1255,399,342,980,-985,841,517,279
265,539,335,-156,1126,773,1261,400,331,1010,-985,840,513,274
268,542,336,-155,1135,777,1259,397,346,892,-986,835,509,273
272,543,339,-154,1110,779,1259,392,384,927,-987,831,513,275
269,537,339,-155,1085,778,1260,395,401,1006,-987,830,515,269
269,535,338,-155,1128,777,1255,398,373,851,-986,833,515,264
278,544,340,-152,1135,775,1254,393,373,785,-987,836,513,265
274,553,337,-152,1057,774,1262,388,416,1038,-989,832,511,265
267,548,337,-149,1091,778,1260,390,410,1076,-988,828,512,263
271,544,343,-144,1182,781,1251,391,358,747,-985,827,514,259
275,548,342,-147,1094,779,1253,381,354,752,-988,823,510,255
275,549,337,-151,1051,777,1255,385,376,1156,-992,819,511,261
274,544,338,-150,1187,780,1253,398,358,1148,-993,817,515,262
273,546,343,-145,1220,780,1254,393,332,800,-991,817,509,255
277,554,345,-141,1126,775,1255,388,336,851,-987,820,507,253
284,549,339,-146,1079,777,1253,393,349,1041,-989,817,513,253
285,543,338,-148,1079,783,1254,390,350,922,-994,809,512,250
280,549,344,-143,1108,786,1255,385,353,841,-994,809,505,244
